                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    138,                 1.2358,                 1.2269,                 1.8606,                0.73136,                0.47953,                0.58809,                0.37877,                 1.9108,                 3.0731,                 3.0043,              0.0010414,              0.0010414,              0.0010414
                    139,                 1.2559,                 1.2432,                 1.9043,                0.61969,                0.30211,                0.39797,                0.25601,                  1.889,                 3.2266,                 3.0165,              0.0010385,              0.0010385,              0.0010385
                    140,                  1.281,                 1.2798,                 1.8959,                0.81171,                0.45248,                0.56375,                0.35486,                 1.7574,                  2.991,                 2.8052,              0.0010357,              0.0010357,              0.0010357
                    141,                 1.2355,                 1.2014,                 1.9091,                0.77574,                0.50457,                 0.6768,                0.46225,                 1.7114,                 2.3409,                 2.7351,              0.0010329,              0.0010329,              0.0010329
                    142,                 1.2703,                 1.2365,                 1.9087,                0.75765,                0.50292,                0.67425,                0.45709,                 1.8061,                 2.6148,                 2.8832,              0.0010301,              0.0010301,              0.0010301
                    143,                  1.211,                 1.2653,                 1.8858,                0.73696,                0.65935,                0.70621,                0.48073,                 1.7068,                 2.9106,                 2.7453,              0.0010272,              0.0010272,              0.0010272
                    144,                 1.2243,                 1.2028,                 1.8609,                0.84042,                0.70195,                0.76278,                0.52741,                 1.7275,                 2.5836,                 2.7837,              0.0010244,              0.0010244,              0.0010244
                    145,                 1.2308,                 1.1837,                 1.8511,                0.92586,                0.32204,                0.44589,                0.28909,                 1.6903,                 2.7407,                 2.7596,              0.0010216,              0.0010216,              0.0010216
                    146,                 1.2041,                 1.2029,                 1.8629,                0.82131,                0.54386,                0.62739,                0.41612,                 1.6534,                 2.5687,                 2.6868,              0.0010187,              0.0010187,              0.0010187
                    147,                 1.2011,                 1.1506,                 1.8503,                  0.735,                0.53216,                0.53699,                 0.3583,                 1.7998,                 2.9137,                 2.8773,              0.0010159,              0.0010159,              0.0010159
